No. Pesanan,Status Pesanan,Alasan Pembatalan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,Metode Pembayaran,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Returned quantity,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Nama Gudang,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Ongkos Kirim Pengembalian Barang,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,Username (Pembeli),Nama Penerima,No. Telepon,Alamat Pengiriman,Kota/Kabupaten,Provinsi,Waktu Pesanan Selesai
SP800382569034,Selesai,,,SHP43026148321,Express,Pick-up,2023-01-03 08:57:54,2023-01-02 10:57:54,2023-01-01 08:57:54,2023-01-01 10:58:54,ShopeePay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Jakarta Selatan,0,0,5000,0,0,0,0,0,18000,18000,0,67000,18000,Jangan sampai bocor,,hana_setiawan612,Nina Wijaya,8852464844,"Jl. Diponegoro No. 67, Depok",Depok,Jawa Barat,2023-01-03 12:57:54
SP349586590992,Selesai,,,SHP24941417230,Express,Antar ke counter,2023-01-03 09:34:24,2023-01-02 13:34:24,2023-01-01 09:34:24,2023-01-01 09:43:24,Kartu Kredit,GDS-SPR-VAN-20,Gendes Feminine Wash Spray Vanilla 20ml,GDS-SPR-VAN-20,Spray 20ml - Vanilla,29000,26000,1,0,26000,3000,0,3000,0.08,1,0.08,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,22000,22000,0,48000,22000,,,eka_permata302,Nina Kurniawan,8695727908,"Jl. Ahmad Yani No. 197, Tangerang Selatan",Tangerang Selatan,Banten,2023-01-09 13:34:24
SP655304076688,Selesai,,,SHP63220279215,Express,Antar ke counter,2023-01-03 14:30:28,2023-01-02 17:30:28,2023-01-01 14:30:28,2023-01-01 14:53:28,OVO,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,57000,2,0,114000,4000,0,4000,0.15,2,0.3,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,15000,15000,0,129000,15000,Kemas bubble wrap,,yuni_handayani698,Yuni Handayani,8071398482,"Jl. Ahmad Yani No. 141, Bantul",Bantul,Yogyakarta,2023-01-04 15:30:28
SP852065062614,Selesai,,,SHP15885703564,Instant,Antar ke counter,2023-01-03 20:56:08,2023-01-02 18:56:08,2023-01-01 20:56:08,2023-01-01 23:43:08,Dana,GDS-FOA-BUB-20,Gendes Feminine Wash Foam Bubblegum 20ml,GDS-FOA-BUB-20,Foam 20ml - Bubblegum,29000,27000,1,0,27000,2000,0,2000,0.08,1,0.08,Gudang Bandung,0,2000,0,0,0,0,2000,0,22000,22000,0,47000,22000,,,sari_santoso871,Nova Lestari,8691309810,"Jl. Gatot Subroto No. 147, Bandar Lampung",Bandar Lampung,Lampung,2023-01-06 23:56:08
SP498914175807,Selesai,,,SHP84965317793,Standar,Antar ke counter,2023-01-03 23:58:33,2023-01-03 02:58:33,2023-01-01 23:58:33,2023-01-02 01:21:33,Transfer Bank,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,46000,2,0,92000,26000,10400,15600,0.15,2,0.3,Gudang Bandung,10000,0,0,0,0,0,0,0,18000,18000,0,100000,18000,,,risa_pratama339,Ani Nugraha,8250642076,"Jl. Diponegoro No. 59, Bengkalis",Bengkalis,Riau,2023-01-06 01:58:33
SP831544646832,Selesai,,,SHP54511152398,Express,Antar ke counter,2023-01-04 08:24:12,2023-01-03 11:24:12,2023-01-02 08:24:12,2023-01-02 10:53:12,Transfer Bank,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,43000,1,0,43000,16000,6400,9600,0.15,1,0.15,Gudang Medan,0,1000,5000,0,0,0,1000,0,18000,18000,0,55000,18000,,,budi_santoso385,Risa Santoso,8939578654,"Jl. Ahmad Yani No. 101, Gresik",Gresik,Jawa Timur,2023-01-09 12:24:12
SP670960591325,Selesai,,,SHP64372789020,Instant,Antar ke counter,2023-01-04 09:24:38,2023-01-03 10:24:38,2023-01-02 09:24:38,2023-01-02 09:38:38,Transfer Bank,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,48000,1,0,48000,11000,4400,6600,0.15,1,0.15,Gudang Medan,10000,2000,5000,0,0,0,2000,0,18000,18000,0,49000,18000,,,tari_hartono47,Risa Cahyani,8924926932,"Jl. Gatot Subroto No. 82, Bandung",Bandung,Jawa Barat,2023-01-07 11:24:38
SP461003824029,Selesai,,,SHP10368293703,Standar,Antar ke counter,2023-01-04 20:02:05,2023-01-03 16:02:05,2023-01-02 20:02:05,2023-01-02 22:43:05,GoPay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,52000,1,0,52000,7000,2800,4200,0.15,1,0.15,Gudang Jakarta Selatan,10000,2000,5000,0,0,0,2000,0,22000,22000,0,57000,22000,,,hana_sari481,Hana Santoso,8415959775,"Jl. Ahmad Yani No. 75, Pasuruan",Pasuruan,Jawa Timur,2023-01-07 21:02:05
SP228746475360,Selesai,,,SHP43945925205,Hemat,Antar ke counter,2023-01-05 07:50:39,2023-01-04 11:50:39,2023-01-03 07:50:39,2023-01-03 08:26:39,QRIS,GDS-SPR-MAN-60,Gendes Feminine Wash Spray Mango 60ml,GDS-SPR-MAN-60,Spray 60ml - Mango,59000,43000,2,0,86000,32000,12800,19200,0.15,2,0.3,Gudang Bandung,0,1000,0,0,0,0,1000,0,8000,8000,0,93000,8000,,,dian_wibowo271,Citra Cahyani,8767209579,"Jl. Diponegoro No. 47, Palopo",Palopo,Sulawesi Selatan,2023-01-08 10:50:39
SP246790108627,Dibatalkan,Pembayaran gagal,Dibatalkan,,Express,Antar ke counter,2023-01-05 09:18:45,2023-01-04 10:18:45,2023-01-03 09:18:45,,Kartu Kredit,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,59000,1,0,59000,0,0,0,0.15,1,0.15,Gudang Surabaya,0,1000,0,0,0,0,1000,0,0,0,0,0,22000,,,elsa_lestari6,Vera Setiawan,8415970996,"Jl. Ahmad Yani No. 94, Gianyar",Gianyar,Bali,
