Order ID,Order Status,Order Substatus,Cancelation/Return Type,Normal or Pre-order,SKU ID,Seller SKU,Product Name,Variation,Quantity,Sku Quantity of return,SKU Unit Original Price,SKU Subtotal Before Discount,SKU Platform Discount,SKU Seller Discount,SKU Subtotal After Discount,Shipping Fee After Discount,Original Shipping Fee,Shipping Fee Seller Discount,Shipping Fee Platform Discount,Payment platform discount,Buyer Service Fee,Handling Fee,Shipping Insurance,Item Insurance,Order Amount,Order Refund Amount,Created Time,Paid Time,RTS Time,Shipped Time,Delivered Time,Cancelled Time,Cancel By,Cancel Reason,Fulfillment Type,Warehouse Name,Tracking ID,Delivery Option,Shipping Provider Name,Buyer Message,Buyer Username,Recipient,Phone #,Zipcode,Country,Province,Regency and City,Districts,Villages,Detail Address,Additional address information,Payment Method,Weight(kg),Product Category,Package ID,Purchase Channel,Seller Note,Checked Status,Checked Marked by
TT350439203867,Completed,Order Complete,,Normal,SKU63516481,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,Spray 60ml - Bubblegum,2,0,59000,118000,9000,0,109000,9000,9000,0,0,0,0,0,0,0,118000,0,2023-01-01 07:25:04,2023-01-01 07:40:04,2023-01-02 11:25:04,2023-01-02 15:25:04,2023-01-07 15:25:04,,,,Seller Shipping,Gudang Surabaya,TT74719584111,Standard,JNE,,indah_wibowo92,Nina Susanto,8282003682,54617,Indonesia,DKI Jakarta,Jakarta Barat,Kec. C,Pedurungan,Jl. Merdeka No. 44,,QRIS,0.15,Feminine Hygiene,PKG753966973,TikTok Shop,Cek stok,Unchecked,
TT666698099816,Completed,Order Complete,,Normal,SKU43406433,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,Spray 60ml - Bubblegum,1,0,59000,59000,5445,4455,49100,12000,12000,0,0,0,0,0,0,500,61600,0,2023-01-01 07:48:00,2023-01-01 09:05:00,2023-01-02 11:48:00,2023-01-02 16:48:00,2023-01-04 16:48:00,,,,Seller Shipping,Gudang Jakarta Selatan,TT59545166999,Express,Ninja Xpress,Jangan bocor,dian_hartono816,Reni Nugraha,8108981621,94373,Indonesia,Jawa Barat,Bandung,Kec. B,Pedurungan,Jl. Sudirman No. 8,,QRIS,0.15,Feminine Hygiene,PKG551449536,TikTok Live,Prioritas,Checked,admin3
TT412810362972,Completed,Order Complete,,Normal,SKU40444930,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,Spray 60ml - Vanilla,1,0,59000,59000,4900,0,54100,12000,12000,0,0,0,0,0,0,0,66100,0,2023-01-01 11:26:57,2023-01-01 11:50:57,2023-01-02 16:26:57,2023-01-02 19:26:57,2023-01-07 19:26:57,,,,Seller Shipping,Gudang Medan,TT13877591263,Express,AnterAja,,laras_permata643,Dito Handayani,8721693102,34318,Indonesia,Jawa Timur,Surabaya,Kec. A,Banyumanik,Jl. Ahmad Yani No. 66,,COD,0.15,Feminine Hygiene,PKG600053260,TikTok Shop,,Checked,admin3
TT623114000898,Cancelled,Cancelled,Cancellation,Normal,SKU83143210,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,Foam 60ml - Vanilla,1,0,59000,59000,0,0,59000,0,12000,0,0,0,0,0,500,500,0,0,2023-01-01 11:58:44,,,,,1672577924.0,buyer,Duplicate order,Seller Shipping,Gudang Medan,,Express,SiCepat,,tika_cahyani491,Hendra Susanto,8639278152,37260,Indonesia,Yogyakarta,Sleman,Kec. B,Tembalang,Jl. Merdeka No. 180,,COD,0.15,Feminine Hygiene,,TikTok Shop,,Checked,admin3
TT359582997145,Completed,Order Complete,,Normal,SKU18882273,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,Spray 60ml - Vanilla,1,0,59000,59000,5400,0,53600,12000,12000,0,0,0,0,0,0,500,66100,0,2023-01-01 14:59:34,2023-01-01 15:26:34,2023-01-02 17:59:34,2023-01-02 19:59:34,2023-01-08 19:59:34,,,,Seller Shipping,Gudang Jakarta Selatan,TT10669907920,Express,Ninja Xpress,,putri_wibowo171,Nova Santoso,8546936361,63367,Indonesia,Jawa Timur,Surabaya,Kec. A,Tembalang,Jl. Sudirman No. 166,,QRIS,0.15,Feminine Hygiene,PKG506788103,TikTok Shop,,Unchecked,
TT823238176005,Completed,Order Complete,,Normal,SKU91004098,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,Spray 60ml - Vanilla,3,0,59000,177000,10725,8775,157500,12000,12000,0,0,0,0,0,0,0,169500,0,2023-01-01 16:36:48,2023-01-01 17:56:48,2023-01-02 19:36:48,2023-01-03 01:36:48,2023-01-06 01:36:48,,,,Seller Shipping,Gudang Surabaya,TT49837148823,Express,AnterAja,,wati_wijaya537,Fajar Handayani,8902092334,12856,Indonesia,Kalimantan Timur,Bontang,Kec. B,Banyumanik,Jl. Sudirman No. 153,,Kartu Kredit,0.15,Feminine Hygiene,PKG413004096,Affiliate,,Checked,admin1
TT263538133347,Completed,Order Complete,,Normal,SKU11861252,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,Spray 60ml - Vanilla,1,0,59000,59000,3500,0,55500,12000,12000,0,0,0,0,0,0,500,68000,0,2023-01-01 16:40:27,2023-01-01 17:08:27,2023-01-02 16:40:27,2023-01-03 00:40:27,2023-01-06 00:40:27,,,,Seller Shipping,Gudang Surabaya,TT17446318126,Express,SiCepat,Tolong kemas rapi,sari_handayani133,Bagas Kusuma,8637632566,60900,Indonesia,Jawa Barat,Bogor,Kec. C,Banyumanik,Jl. Merdeka No. 178,,OVO,0.15,Feminine Hygiene,PKG778155728,TikTok Live,,Unchecked,
TT896456502489,Completed,Order Complete,,Normal,SKU73793125,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,Foam 60ml - Vanilla,1,0,59000,59000,5720,4680,48600,12000,12000,0,0,0,0,0,0,0,60600,0,2023-01-01 17:05:47,2023-01-01 17:32:47,2023-01-02 12:05:47,2023-01-02 17:05:47,2023-01-05 17:05:47,,,,Seller Shipping,Gudang Jakarta Selatan,TT92086206326,Express,Ninja Xpress,Tolong kemas rapi,wati_setiawan874,Ani Cahyani,8697127646,13705,Indonesia,Lampung,Pringsewu,Kec. B,Semarang Selatan,Jl. Sudirman No. 164,,COD,0.15,Feminine Hygiene,PKG503946406,TikTok Shop,,Unchecked,
TT587315973944,Cancelled,Cancelled,Cancellation,Normal,SKU38466321,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,Foam 60ml - Vanilla,1,0,59000,59000,0,0,59000,0,12000,0,0,0,0,0,0,0,0,0,2023-01-01 17:54:11,,,,,1672606451.0,buyer,Duplicate order,Seller Shipping,Gudang Bandung,,Express,Ninja Xpress,,bagas_wibowo804,Fajar Gunawan,8707247687,29795,Indonesia,Jawa Tengah,Solo,Kec. B,Semarang Selatan,Jl. Sudirman No. 135,,ShopeePay,0.15,Feminine Hygiene,,TikTok Shop,Cek stok,Checked,admin3
TT217171142371,Completed,Order Complete,,Normal,SKU90235631,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,Spray 60ml - Vanilla,1,0,59000,59000,0,0,59000,12000,12000,0,0,0,0,0,0,0,71000,0,2023-01-01 18:00:39,2023-01-01 19:24:39,2023-01-02 22:00:39,2023-01-03 06:00:39,2023-01-10 06:00:39,,,,Seller Shipping,Gudang Bandung,TT91798394499,Express,Pos Indonesia,,risa_permata281,Reza Hartono,8273357763,16173,Indonesia,Banten,Cilegon,Kec. C,Tembalang,Jl. Ahmad Yani No. 75,,ShopeePay,0.15,Feminine Hygiene,PKG330215269,TikTok Shop,Prioritas,Checked,admin1
